state,inicio,varinicio,varfim,pt_v,id,vir,inteiro,real,literal,leia,escreva,lit,num,rcb,opm,se,ab_p,fc_p,então,opr,fimse,repita,fimrepita,fim,$
0,S2,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0
1,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,A
2,E0,S4,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0
3,E0,E0,E0,E0,S13,E0,E0,E0,E0,S11,S12,E0,E0,E0,E0,S16,E0,E0,E0,E0,E0,S17,E0,S10,E0
4,E0,E0,S20,E0,E0,E0,S22,S23,S24,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0
5,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,R1
6,E0,E0,E0,E0,S13,E0,E0,E0,E0,S11,S12,E0,E0,E0,E0,S16,E0,E0,E0,E0,E0,S17,E0,S10,E0
7,E0,E0,E0,E0,S13,E0,E0,E0,E0,S11,S12,E0,E0,E0,E0,S16,E0,E0,E0,E0,E0,S17,E0,S10,E0
8,E0,E0,E0,E0,S13,E0,E0,E0,E0,S11,S12,E0,E0,E0,E0,S16,E0,E0,E0,E0,E0,S17,E0,S10,E0
9,E0,E0,E0,E0,S13,E0,E0,E0,E0,S11,S12,E0,E0,E0,E0,S16,E0,E0,E0,E0,E0,S17,E0,S10,E0
10,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,R38
11,E0,E0,E0,E0,S29,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0
12,E0,E0,E0,E0,S33,E0,E0,E0,E0,E0,E0,S31,S32,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0
13,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,S34,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0
14,E0,E0,E0,E0,S13,E0,E0,E0,E0,S11,S12,E0,E0,E0,E0,S16,E0,E0,E0,E0,S39,E0,E0,E0,E0
15,E0,E0,E0,E0,S13,E0,E0,E0,E0,S11,S12,E0,E0,E0,E0,S16,E0,E0,E0,E0,E0,E0,S44,E0,E0
16,E5,E5,E5,E5,E6,E5,E5,E5,E5,E5,E5,E5,E6,E5,E5,E5,S45,E5,E5,E5,E5,E5,E5,E5,E5
17,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,S46,E0,E0,E0,E0,E0,E0,E0,E0
18,E0,E0,E0,E0,R2,E0,E0,E0,E0,R2,R2,E0,E0,E0,E0,R2,E0,E0,E0,E0,E0,R2,E0,R2,E0
19,E0,E0,S20,E0,E0,E0,S22,S23,S24,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0
